monthly_consumption_kwh,future_usage_growth_pct,adjusted_monthly_consumption_kwh,annual_consumption_kwh,empirical_annual_yield_kwh_per_kwp,required_capacity_kw,mnre_min_capacity_kw,mnre_max_capacity_kw,recommended_capacity_kw,label_source
275,15,316.25,3795.0,1055.52,3.595,2.0,3.0,3.595,method_derived
275,20,330.0,3960.0,1055.52,3.752,2.0,3.0,3.752,method_derived
300,0,300.0,3600.0,1055.52,3.411,2.0,3.0,3.411,method_derived
300,5,315.0,3780.0,1055.52,3.581,2.0,3.0,3.581,method_derived
300,10,330.0,3960.0,1055.52,3.752,2.0,3.0,3.752,method_derived
300,15,345.0,4140.0,1055.52,3.922,2.0,3.0,3.922,method_derived
300,20,360.0,4320.0,1055.52,4.093,2.0,3.0,4.093,method_derived
350,0,350.0,4200.0,1055.52,3.979,3.0,,3.979,method_derived
350,5,367.5,4410.0,1055.52,4.178,3.0,,4.178,method_derived
350,10,385.0,4620.0,1055.52,4.377,3.0,,4.377,method_derived
350,15,402.5,4830.0,1055.52,4.576,3.0,,4.576,method_derived
350,20,420.0,5040.0,1055.52,4.775,3.0,,4.775,method_derived
400,0,400.0,4800.0,1055.52,4.548,3.0,,4.548,method_derived
400,5,420.0,5040.0,1055.52,4.775,3.0,,4.775,method_derived
400,10,440.0,5280.0,1055.52,5.002,3.0,,5.002,method_derived
400,15,460.0,5520.0,1055.52,5.23,3.0,,5.23,method_derived
400,20,480.0,5760.0,1055.52,5.457,3.0,,5.457,method_derived
450,0,450.0,5400.0,1055.52,5.116,3.0,,5.116,method_derived
450,5,472.5,5670.0,1055.52,5.372,3.0,,5.372,method_derived
450,10,495.0,5940.0,1055.52,5.628,3.0,,5.628,method_derived
450,15,517.5,6210.0,1055.52,5.883,3.0,,5.883,method_derived
450,20,540.0,6480.0,1055.52,6.139,3.0,,6.139,method_derived
500,0,500.0,6000.0,1055.52,5.684,3.0,,5.684,method_derived
500,5,525.0,6300.0,1055.52,5.969,3.0,,5.969,method_derived
500,10,550.0,6600.0,1055.52,6.253,3.0,,6.253,method_derived
500,15,575.0,6900.0,1055.52,6.537,3.0,,6.537,method_derived
500,20,600.0,7200.0,1055.52,6.821,3.0,,6.821,method_derived
600,0,600.0,7200.0,1055.52,6.821,3.0,,6.821,method_derived
600,5,630.0,7560.0,1055.52,7.162,3.0,,7.162,method_derived
600,10,660.0,7920.0,1055.52,7.503,3.0,,7.503,method_derived
600,15,690.0,8280.0,1055.52,7.844,3.0,,7.844,method_derived
600,20,720.0,8640.0,1055.52,8.186,3.0,,8.186,method_derived
750,0,750.0,9000.0,1055.52,8.527,3.0,,8.527,method_derived
750,5,787.5,9450.0,1055.52,8.953,3.0,,8.953,method_derived
750,10,825.0,9900.0,1055.52,9.379,3.0,,9.379,method_derived
750,15,862.5,10350.0,1055.52,9.806,3.0,,9.806,method_derived
750,20,900.0,10800.0,1055.52,10.232,3.0,,10.232,method_derived
